,latitude,longitude,postalCode,Date,Hour,make,model,year,soakTime,day_night
102,29.773,-94.977,77521,10/1/2019,12,CHEVROLET,MALIBU,2017,7.666666667,dtime
103,29.795,-94.982,77521,10/3/2019,12,CHEVROLET,MALIBU,2017,24.53333333,dtime
104,29.777,-94.977,77521,10/9/2019,12,CHEVROLET,MALIBU,2017,17.76666667,dtime
105,29.794,-94.979,77521,10/9/2019,12,CHEVROLET,MALIBU,2017,17.11666667,dtime
106,29.776,-94.977,77521,10/25/2019,12,CHEVROLET,MALIBU,2017,20.63333333,dtime
107,29.809,-94.902,77521,10/5/2019,12,CHEVROLET,MALIBU,2017,6.883333333,dtime
108,29.793,-94.982,77521,10/1/2019,12,CHEVROLET,MALIBU,2017,16.45,dtime
109,29.794,-94.982,77521,10/10/2019,12,CHEVROLET,MALIBU,2017,24.96666667,dtime
110,29.793,-94.982,77521,10/11/2019,12,CHEVROLET,MALIBU,2017,6.35,dtime
111,29.793,-94.982,77521,10/18/2019,12,CHEVROLET,MALIBU,2017,14.1,dtime
112,29.795,-94.978,77521,10/25/2019,12,CHEVROLET,MALIBU,2017,11.28333333,dtime
113,29.804,-94.979,77521,10/29/2019,12,CHEVROLET,MALIBU,2017,8.283333333,dtime
114,29.793,-94.98,77521,10/6/2019,12,CHEVROLET,MALIBU,2017,8.033333333,dtime
115,29.78,-94.977,77521,10/4/2019,12,CHEVROLET,MALIBU,2017,25.45,dtime
116,30.004,-95.284,77338,10/4/2019,12,CHEVROLET,MALIBU,2017,9.016666667,dtime
117,30.015,-95.261,77338,10/4/2019,12,CHEVROLET,MALIBU,2017,6.45,dtime
118,30.007,-95.279,77338,10/21/2019,12,CHEVROLET,MALIBU,2017,12.7,dtime
119,30.008,-95.284,77338,10/2/2019,12,CHEVROLET,MALIBU,2017,14.01666667,dtime
120,30.025,-95.26,77338,10/5/2019,12,CHEVROLET,MALIBU,2017,10.81666667,dtime
121,29.984,-95.298,77338,10/3/2019,12,CHEVROLET,MALIBU,2017,24.45,dtime
122,29.992,-95.272,77338,10/12/2019,12,CHEVROLET,MALIBU,2017,16.86666667,dtime
123,30.004,-95.299,77338,10/14/2019,12,CHEVROLET,MALIBU,2017,27,dtime
124,30.002,-95.268,77338,10/2/2019,12,CHEVROLET,MALIBU,2017,13.41666667,dtime
125,30.004,-95.271,77338,10/18/2019,12,CHEVROLET,MALIBU,2017,28.48333333,dtime
126,30.01,-95.272,77338,10/28/2019,12,CHEVROLET,MALIBU,2017,15.95,dtime
127,30.005,-95.284,77338,10/7/2019,12,CHEVROLET,MALIBU,2017,6.216666667,dtime
128,30.012,-95.262,77338,10/5/2019,12,CHEVROLET,MALIBU,2017,6.766666667,dtime
129,30.003,-95.281,77338,10/23/2019,12,CHEVROLET,MALIBU,2017,13.33333333,dtime
130,30.02,-95.303,77338,10/6/2019,12,CHEVROLET,MALIBU,2017,17.21666667,dtime
131,29.999,-95.268,77338,10/10/2019,12,CHEVROLET,MALIBU,2017,9.55,dtime
132,29.999,-95.254,77338,10/23/2019,12,CHEVROLET,MALIBU,2017,16.18333333,dtime
133,30.007,-95.279,77338,10/24/2019,12,CHEVROLET,MALIBU,2017,11.71666667,dtime
134,30.004,-95.279,77338,10/28/2019,12,CHEVROLET,MALIBU,2017,12.68333333,dtime
135,30.022,-95.266,77338,10/15/2019,12,CHEVROLET,MALIBU,2017,22.33333333,dtime
136,30.009,-95.272,77338,10/12/2019,12,CHEVROLET,MALIBU,2017,16.05,dtime
137,30.002,-95.27,77338,10/3/2019,12,CHEVROLET,MALIBU,2017,9.033333333,dtime
138,30.004,-95.265,77338,10/31/2019,12,CHEVROLET,MALIBU,2017,10.13333333,dtime
139,30.021,-95.267,77338,10/30/2019,12,CHEVROLET,MALIBU,2017,23.18333333,dtime
140,30.02,-95.268,77338,10/11/2019,12,CHEVROLET,MALIBU,2017,16.91666667,dtime
141,30.015,-95.262,77338,10/11/2019,12,CHEVROLET,MALIBU,2017,6.266666667,dtime
142,30.003,-95.281,77338,10/9/2019,12,CHEVROLET,MALIBU,2017,11.66666667,dtime
143,30.022,-95.266,77338,10/18/2019,12,CHEVROLET,MALIBU,2017,16.25,dtime
144,30.013,-95.261,77338,10/8/2019,12,CHEVROLET,MALIBU,2017,24.75,dtime
145,30.004,-95.277,77338,10/8/2019,12,CHEVROLET,MALIBU,2017,6.416666667,dtime
146,30.005,-95.275,77338,10/18/2019,12,CHEVROLET,MALIBU,2017,28.61666667,dtime
147,30.005,-95.288,77338,10/13/2019,12,CHEVROLET,MALIBU,2017,11.15,dtime
148,30.009,-95.272,77338,10/20/2019,12,CHEVROLET,MALIBU,2017,25.16666667,dtime
149,30.021,-95.315,77338,10/10/2019,12,CHEVROLET,MALIBU,2017,10.31666667,dtime
150,30.008,-95.27,77338,10/3/2019,12,CHEVROLET,MALIBU,2017,7.983333333,dtime
151,30.011,-95.263,77338,10/28/2019,12,CHEVROLET,MALIBU,2017,27.2,dtime
152,30,-95.238,77338,10/10/2019,12,CHEVROLET,MALIBU,2017,29.06666667,dtime
153,30.006,-95.29,77338,10/10/2019,12,CHEVROLET,MALIBU,2017,8.666666667,dtime
154,30,-95.239,77338,10/12/2019,12,CHEVROLET,MALIBU,2017,13.2,dtime
155,30.006,-95.276,77338,10/12/2019,12,CHEVROLET,MALIBU,2017,6.3,dtime
156,30.006,-95.275,77338,10/14/2019,12,CHEVROLET,MALIBU,2017,6.333333333,dtime
157,30.006,-95.276,77338,10/14/2019,12,CHEVROLET,MALIBU,2017,6.05,dtime
158,29.998,-95.272,77338,10/23/2019,12,CHEVROLET,MALIBU,2017,8.533333333,dtime
159,30.006,-95.27,77338,10/25/2019,12,CHEVROLET,MALIBU,2017,8.166666667,dtime
160,30.002,-95.267,77338,10/7/2019,12,CHEVROLET,MALIBU,2017,19.2,dtime
161,29.988,-95.276,77338,10/10/2019,12,CHEVROLET,MALIBU,2017,15.05,dtime
162,30.005,-95.275,77338,10/4/2019,12,CHEVROLET,MALIBU,2017,26.58333333,dtime
163,29.999,-95.255,77338,10/3/2019,12,CHEVROLET,MALIBU,2017,7.233333333,dtime
164,29.999,-95.255,77338,10/9/2019,12,CHEVROLET,MALIBU,2017,14.83333333,dtime
165,30.013,-95.262,77338,10/22/2019,12,CHEVROLET,MALIBU,2017,18.01666667,dtime
166,30.011,-95.267,77338,10/22/2019,12,CHEVROLET,MALIBU,2017,17.31666667,dtime
167,30.006,-95.273,77338,10/23/2019,12,CHEVROLET,MALIBU,2017,6.816666667,dtime
168,29.984,-95.296,77338,10/14/2019,12,CHEVROLET,MALIBU,2017,14.33333333,dtime
169,30.007,-95.279,77338,10/28/2019,12,CHEVROLET,MALIBU,2017,27.15,dtime
170,30.009,-95.269,77338,10/19/2019,12,CHEVROLET,MALIBU,2017,12.65,dtime
171,30.019,-95.268,77338,10/22/2019,12,CHEVROLET,MALIBU,2017,23.98333333,dtime
172,30.006,-95.288,77338,10/8/2019,12,CHEVROLET,MALIBU,2017,23.98333333,dtime
173,30.014,-95.261,77338,10/7/2019,12,CHEVROLET,MALIBU,2017,26.53333333,dtime
174,30.019,-95.268,77338,10/7/2019,12,CHEVROLET,MALIBU,2017,13.06666667,dtime
175,30.004,-95.267,77338,10/22/2019,12,CHEVROLET,MALIBU,2017,14.36666667,dtime
176,29.988,-95.276,77338,10/19/2019,12,CHEVROLET,MALIBU,2017,13.31666667,dtime
177,30.011,-95.253,77338,10/23/2019,12,CHEVROLET,MALIBU,2017,18.55,dtime
178,29.988,-95.276,77338,10/29/2019,12,CHEVROLET,MALIBU,2017,29.6,dtime
179,29.988,-95.276,77338,10/29/2019,12,CHEVROLET,MALIBU,2017,10.36666667,dtime
180,29.988,-95.276,77338,10/29/2019,12,CHEVROLET,MALIBU,2017,12.11666667,dtime
181,30.008,-95.272,77338,10/15/2019,12,CHEVROLET,MALIBU,2017,7.866666667,dtime
182,30.002,-95.268,77338,10/5/2019,12,CHEVROLET,MALIBU,2017,11,dtime
183,30.008,-95.272,77338,10/5/2019,12,CHEVROLET,MALIBU,2017,12.93333333,dtime
184,30.004,-95.3,77338,10/30/2019,12,CHEVROLET,MALIBU,2017,25.05,dtime
185,30.006,-95.275,77338,10/12/2019,12,CHEVROLET,MALIBU,2017,18.98333333,dtime
186,30.004,-95.279,77338,10/2/2019,12,CHEVROLET,MALIBU,2017,6.1,dtime
187,30.007,-95.282,77338,10/2/2019,12,CHEVROLET,MALIBU,2017,19.46666667,dtime
188,30.007,-95.281,77338,10/7/2019,12,CHEVROLET,MALIBU,2017,26.8,dtime
189,30.007,-95.281,77338,10/21/2019,12,CHEVROLET,MALIBU,2017,19.6,dtime
190,30.006,-95.266,77338,10/25/2019,12,CHEVROLET,MALIBU,2017,27.55,dtime
191,30.01,-95.263,77338,10/8/2019,12,CHEVROLET,MALIBU,2017,21.33333333,dtime
192,30.006,-95.281,77338,10/2/2019,12,CHEVROLET,MALIBU,2017,8.65,dtime
193,30,-95.242,77338,10/2/2019,12,CHEVROLET,MALIBU,2017,9.633333333,dtime
194,30.012,-95.262,77338,10/9/2019,12,CHEVROLET,MALIBU,2017,8.833333333,dtime
195,30.013,-95.262,77338,10/22/2019,12,CHEVROLET,MALIBU,2017,19.26666667,dtime
196,30.004,-95.272,77338,10/26/2019,12,CHEVROLET,MALIBU,2017,11.85,dtime
197,30.011,-95.263,77338,10/27/2019,12,CHEVROLET,MALIBU,2017,18.33333333,dtime
198,30.008,-95.279,77338,10/24/2019,12,CHEVROLET,MALIBU,2017,27.43333333,dtime
199,30.009,-95.272,77338,10/20/2019,12,CHEVROLET,MALIBU,2017,14.66666667,dtime
200,30.011,-95.267,77338,10/24/2019,12,CHEVROLET,MALIBU,2017,18.25,dtime
201,30.006,-95.275,77338,10/25/2019,12,CHEVROLET,MALIBU,2017,10.3,dtime
202,30.003,-95.272,77338,10/26/2019,12,CHEVROLET,MALIBU,2017,8.3,dtime
203,30.008,-95.277,77338,10/30/2019,12,CHEVROLET,MALIBU,2017,22.75,dtime
204,30.008,-95.283,77338,10/30/2019,12,CHEVROLET,MALIBU,2017,11.15,dtime
205,30.001,-95.277,77338,10/4/2019,12,CHEVROLET,MALIBU,2017,6.483333333,dtime
206,30.01,-95.288,77338,10/19/2019,12,CHEVROLET,MALIBU,2017,22.85,dtime
207,30.008,-95.284,77338,10/20/2019,12,CHEVROLET,MALIBU,2017,9.433333333,dtime
208,30.008,-95.284,77338,10/24/2019,12,CHEVROLET,MALIBU,2017,10.5,dtime
209,30.004,-95.264,77338,10/26/2019,12,CHEVROLET,MALIBU,2017,29.93333333,dtime
210,30.002,-95.266,77338,10/11/2019,12,CHEVROLET,MALIBU,2017,7.866666667,dtime
211,30.008,-95.284,77338,10/21/2019,12,CHEVROLET,MALIBU,2017,21.43333333,dtime
212,30.025,-95.315,77338,10/20/2019,12,CHEVROLET,MALIBU,2017,16.53333333,dtime
213,30.006,-95.275,77338,10/27/2019,12,CHEVROLET,MALIBU,2017,7.683333333,dtime
214,29.999,-95.264,77338,10/6/2019,12,CHEVROLET,MALIBU,2017,12.63333333,dtime
215,29.992,-95.272,77338,10/6/2019,12,CHEVROLET,MALIBU,2017,20.05,dtime
216,29.809,-95.164,77015,10/25/2019,12,CHEVROLET,MALIBU,2017,28.15,dtime
217,29.768,-95.184,77015,10/27/2019,12,CHEVROLET,MALIBU,2017,6.1,dtime
218,29.811,-95.166,77015,10/9/2019,12,CHEVROLET,MALIBU,2017,7.25,dtime
219,29.81,-95.161,77015,10/9/2019,12,CHEVROLET,MALIBU,2017,22.48333333,dtime
220,29.772,-95.165,77015,10/31/2019,12,CHEVROLET,MALIBU,2017,20.4,dtime
221,29.769,-95.177,77015,10/9/2019,12,CHEVROLET,MALIBU,2017,14.41666667,dtime
222,29.768,-95.188,77015,10/10/2019,12,CHEVROLET,MALIBU,2017,14.91666667,dtime
223,29.77,-95.181,77015,10/29/2019,12,CHEVROLET,MALIBU,2017,13.81666667,dtime
224,29.807,-95.169,77015,10/12/2019,12,CHEVROLET,MALIBU,2017,16.03333333,dtime
225,29.806,-95.183,77015,10/19/2019,12,CHEVROLET,MALIBU,2017,21.93333333,dtime
226,29.807,-95.166,77015,10/5/2019,12,CHEVROLET,MALIBU,2017,16.73333333,dtime
227,29.78,-95.178,77015,10/10/2019,12,CHEVROLET,MALIBU,2017,8.95,dtime
